,date,district,MAM_admissions,SAM_admissions
918,2019-09-01,Ceel Barde,123.0,537.0
919,2019-10-01,Ceel Barde,113.0,321.0
920,2019-11-01,Ceel Barde,184.0,186.0
921,2019-12-01,Ceel Barde,197.0,275.0
922,2020-01-01,Ceel Barde,258.0,716.0
923,2020-02-01,Ceel Barde,173.0,534.0
924,2020-03-01,Ceel Barde,274.0,484.0
925,2020-04-01,Ceel Barde,175.0,468.0
926,2020-05-01,Ceel Barde,0.0,487.0
927,2020-06-01,Ceel Barde,0.0,585.0
928,2020-07-01,Ceel Barde,0.0,535.0
929,2020-08-01,Ceel Barde,0.0,380.0
930,2020-09-01,Ceel Barde,0.0,397.0
931,2020-10-01,Ceel Barde,0.0,373.0
932,2020-11-01,Ceel Barde,0.0,374.0
933,2020-12-01,Ceel Barde,0.0,337.0
934,2021-01-01,Ceel Barde,0.0,297.0
935,2021-02-01,Ceel Barde,0.0,389.0
936,2021-03-01,Ceel Barde,292.0,248.0
937,2021-04-01,Ceel Barde,89.0,110.0
938,2021-05-01,Ceel Barde,209.0,244.0
939,2021-06-01,Ceel Barde,988.0,253.0
940,2021-07-01,Ceel Barde,0.0,185.0
941,2021-08-01,Ceel Barde,0.0,192.0
942,2021-09-01,Ceel Barde,0.0,194.0
943,2021-10-01,Ceel Barde,203.0,106.0
944,2021-11-01,Ceel Barde,0.0,191.0
945,2019-01-01,Ceel Buur,0.0,288.0
946,2019-02-01,Ceel Buur,0.0,205.0
947,2019-03-01,Ceel Buur,0.0,284.0
948,2019-04-01,Ceel Buur,0.0,304.0
949,2019-05-01,Ceel Buur,0.0,264.0
950,2019-06-01,Ceel Buur,0.0,658.0
951,2019-07-01,Ceel Buur,0.0,695.0
952,2019-08-01,Ceel Buur,0.0,352.0
953,2019-09-01,Ceel Buur,,
954,2019-10-01,Ceel Buur,,
955,2019-11-01,Ceel Buur,140.0,144.0
956,2019-12-01,Ceel Buur,95.0,140.0
957,2020-01-01,Ceel Buur,130.0,248.0
958,2020-02-01,Ceel Buur,231.0,167.0
959,2020-03-01,Ceel Buur,232.0,259.0
960,2020-04-01,Ceel Buur,247.0,93.0
961,2020-05-01,Ceel Buur,219.0,116.0
962,2020-06-01,Ceel Buur,167.0,90.0
963,2020-07-01,Ceel Buur,252.0,124.0
964,2020-08-01,Ceel Buur,241.0,94.0
965,2020-09-01,Ceel Buur,595.0,257.0
966,2020-10-01,Ceel Buur,206.0,97.0
967,2020-11-01,Ceel Buur,,
968,2020-12-01,Ceel Buur,,
969,2021-01-01,Ceel Buur,,
970,2021-02-01,Ceel Buur,157.0,123.0
971,2021-03-01,Ceel Buur,379.0,178.0
972,2021-04-01,Ceel Buur,403.0,214.0
973,2021-05-01,Ceel Buur,443.0,173.0
974,2021-06-01,Ceel Buur,371.0,156.0
975,2021-07-01,Ceel Buur,322.0,132.0
976,2021-08-01,Ceel Buur,,
977,2021-09-01,Ceel Buur,82.0,71.0
978,2021-10-01,Ceel Buur,422.0,166.0
979,2021-11-01,Ceel Buur,370.0,241.0
980,2019-01-01,Ceel Dheer,163.0,148.0
981,2019-02-01,Ceel Dheer,162.0,256.0
982,2019-03-01,Ceel Dheer,181.0,197.0
983,2019-04-01,Ceel Dheer,155.0,208.0
984,2019-05-01,Ceel Dheer,171.0,220.0
985,2019-06-01,Ceel Dheer,181.0,157.0
986,2019-07-01,Ceel Dheer,,
987,2019-08-01,Ceel Dheer,,
988,2019-09-01,Ceel Dheer,0.0,0.0
989,2019-10-01,Ceel Dheer,164.0,106.0
990,2019-11-01,Ceel Dheer,140.0,85.0
991,2019-12-01,Ceel Dheer,195.0,85.0
992,2020-01-01,Ceel Dheer,142.0,70.0
993,2020-02-01,Ceel Dheer,101.0,104.0
994,2020-03-01,Ceel Dheer,140.0,93.0
995,2020-04-01,Ceel Dheer,142.0,76.0
996,2020-05-01,Ceel Dheer,144.0,69.0
997,2020-06-01,Ceel Dheer,139.0,64.0
