,date,district,total population,Under-Five Population,GAM,MAM,SAM,GAM Prevalence,SAM Prevalence,phase3plus_perc_x,rainfall,ndvi_score,Price of water,Total alarms,n_conflict_total,Average of centy,Average of centx,6lag_next_prevalence,prevalence_6lag,next_prevalence,prevalence_1lag,month,increase,increase_numeric,district_encoded
91,2017-08-01,Qandala,75823.06499999999,15164.612999999998,6150.767032799999,5125.639193999999,1025.1278387999996,0.4055999999999999,0.0675999999999999,0.38,9.23,0.15,,1.0,6.0,11.06016,50.08869,0.3431999999999999,,0.4055999999999999,0.4055999999999999,8,True,0.0,62
92,2017-08-01,Baardheere,170132.26499999998,34026.453,14685.817114800002,12474.0976698,2211.719445,0.4316,0.0649999999999999,0.21,7.11,0.19,8.0,8.0,5.0,2.102048,41.70671,0.3925999999999999,,0.4316,0.4316,8,True,0.0,3
93,2017-08-01,Caluula,67184.955,13436.991000000002,5450.043549600001,4541.702958000002,908.3405916000004,0.4056,0.0676,0.38,2.52,0.15,20.0,4.0,1.0,11.66822,50.79402,0.3432,,0.4056,0.4056,8,True,0.0,28
94,2017-08-01,Bulo Burto,181435.5,36287.1,15567.165900000002,12548.07918,3019.08672,0.429,0.0832,0.38,7.52,0.19,30.0,3.0,5.0,3.900063,45.53233,0.3926,,0.429,0.429,8,True,0.0,20
95,2017-08-01,Jilib,103739.085,20747.817,8954.757817200001,7606.149712200001,1348.608105,0.4316000000000001,0.065,0.14,34.0,0.44,30.0,7.0,1.0,0.6450100000000001,43.05589000000001,0.3925999999999999,,0.4316000000000001,0.4316000000000001,8,True,0.0,51
96,2017-08-01,Eyl,105162.21,21032.442000000003,9515.0767608,7929.230634,1585.8461268,0.4523999999999998,0.0753999999999999,0.26,0.5,0.14,,3.0,1.0,8.094348,49.56446,0.3795999999999999,,0.4523999999999998,0.4523999999999998,8,True,0.0,39
97,2017-08-01,Caynabo,69235.29,13847.058,6120.399636,4680.305604,1440.094032,0.442,0.104,0.43,1.25,0.14,,1.0,1.0,9.282376,46.49009,0.2911999999999999,,0.442,0.442,8,True,0.0,29
98,2017-08-01,Ceel Barde,46070.955,9214.191,4479.939664199998,3186.2672477999995,1293.6724163999995,0.4861999999999998,0.1403999999999999,0.43,11.18,0.19,40.0,5.0,3.0,4.673877,43.99833,0.4861999999999998,,0.4861999999999998,0.4861999999999998,8,True,0.0,31
99,2017-08-01,Hargeysa,1071923.705,214384.741,73445.88245800001,55654.83200680001,17791.050451200004,0.3425891325819686,0.0829865519729317,0.08,27.69,0.0,12.0,7.0,3.0,9.521626,44.28073,0.1975999999999999,,0.3425891325819686,0.3425891325819686,8,True,0.0,45
100,2017-08-01,Doolow,50233.7,10046.74,4376.618584000002,3699.313124,677.3054599999999,0.4356257436740676,0.0674154462044404,0.23,0.23,0.16,,3.0,3.0,4.002533000000001,42.1408,0.3926,,0.4356257436740676,0.4356257436740676,8,True,0.0,38
101,2017-08-01,Laas Caanood,170114.66999999998,34022.934,15038.136828000002,11499.751692000002,3538.385136000001,0.442,0.104,0.39,0.48,0.14,51.25,5.0,4.0,8.438008,47.63642,0.2911999999999999,,0.442,0.442,8,True,0.0,55
102,2017-08-01,Garbahaarey,91374.975,18274.995,7887.487842,6699.613167,1187.874675,0.4316,0.065,0.23,5.52,0.19,,0.0,3.0,3.205999,42.35913,0.3925999999999999,,0.4316,0.4316,8,True,0.0,42
103,2017-08-01,Baidoa,450683.52,90136.704,34017.7997952,23284.863888000003,10732.9359072,0.3774023043398614,0.1190739779790483,0.39,16.82,0.28,26.25,13.0,9.0,3.266359,43.63929,0.2886,,0.3774023043398614,0.3774023043398614,8,True,0.0,6
104,2017-08-01,Saakow,178339.81499999997,35667.963,15394.2928308,13075.875235799998,2318.417595,0.4316,0.065,0.07,7.21,0.27,30.0,2.0,1.0,1.628627,42.06274000000001,0.3925999999999999,,0.4316,0.4316,8,True,0.0,67
105,2017-08-01,Sablaale,62978.715,12595.743,4650.3483156,3602.3824979999995,1047.9658176,0.3692,0.0832,0.13,15.78,0.47,,0.0,,1.383262,43.52054,0.3510000000000001,,0.3692,0.3692,8,True,0.0,69
