,date,district,prevalence,next_prevalence,ndvi,ipc,population,rainfall,month,total_alarms,district_encoded
167,2018-07-01,Caynabo,0.2428031590674251,0.3464523514753054,0.1683333333333333,0.44,38882.923681135246,29.903333333333336,7,0.3333333333333333,29
168,2018-07-01,Gaalkacyo,0.4668580324895174,0.3939217335250711,0.1933333333333333,0.19,420293.0224489165,21.956666666666667,7,4.666666666666667,40
170,2018-07-01,Jilib,0.4060356888423295,0.3157056116630282,0.4666666666666666,0.08,177363.81212203606,123.44,7,4.0,51
171,2018-07-01,Jamaame,0.4077438698894172,0.3149404261361454,0.4316666666666666,0.08,72274.03765624086,102.58666666666666,7,3.5,49
172,2018-07-01,Caluula,0.4507637375759017,0.5231865541625861,0.1616666666666666,0.05,49878.02246678231,4.931666666666668,7,1.3333333333333333,28
173,2018-07-01,Waajid,0.4748949097855825,0.4792888339084379,0.3266666666666666,0.09,122373.31931054375,66.39833333333333,7,3.8333333333333335,71
174,2018-07-01,Jowhar,0.3830459721840857,0.4361091139158288,0.35,0.03,183042.93582933792,34.254999999999995,7,3.333333333333333,52
175,2018-07-01,Ceel Barde,0.34701491572768,0.523846379837409,0.3066666666666667,0.0,62204.20387382111,51.81666666666666,7,4.166666666666667,31
176,2018-07-01,Cadale,0.2829201738380863,0.397642761583422,0.27,0.0,83698.7844852664,33.556666666666665,7,4.333333333333333,27
178,2018-07-01,Zeylac,0.4330650433619875,0.2939877424871059,0.1016666666666666,0.4,76799.71197431434,14.223333333333334,7,4.166666666666667,76
179,2018-07-01,Eyl,0.456573523755734,0.3843661195946408,0.1483333333333333,0.09,92352.216683081,16.595000000000002,7,1.3333333333333333,39
180,2018-07-01,Kismaayo,0.4685498464822668,0.3096236699207461,0.4583333333333333,0.4,194982.61424177085,96.695,7,6.166666666666667,53
181,2018-07-01,Jalalaqsi,0.3858321287337016,0.4698845151234747,0.3383333333333333,0.09,137166.99069700082,34.66166666666667,7,3.1666666666666665,48
182,2018-07-01,Ceel Dheer,0.3142399717243435,0.3237222467082124,0.2316666666666666,0.13,103004.37800500816,33.205000000000005,7,1.1666666666666667,33
183,2018-07-01,Tayeeglow,0.3502607787971933,0.4731941786256158,0.3766666666666667,0.06,62826.76428427834,45.64666666666667,7,1.0,70
184,2018-07-01,Adan Yabaal,0.2789393906990287,0.3959736631857278,0.26,0.0,37859.154953401936,35.59,7,1.5,0
185,2018-07-01,Bandarbeyla,0.499901764184284,0.3786044640745989,0.1266666666666666,0.05,14286.58526534636,9.736666666666666,7,1.1666666666666667,10
186,2018-07-01,Qoryooley,0.4363798525409664,0.4388574958395,0.44,0.0,282277.1749967973,44.995000000000005,7,4.833333333333333,65
187,2018-07-01,Afmadow,0.3680877161916911,0.3567363956871535,0.4283333333333333,0.05,180756.29518407176,87.60833333333333,7,3.333333333333333,2
188,2018-07-01,Belet Weyne,0.4637281725694139,0.4709482336256127,0.26,0.22,257210.9053470947,34.67,7,6.166666666666667,13
189,2018-07-01,Garbahaarey,0.345678336354725,0.3582420806274685,0.305,0.02,150445.26937163374,53.81666666666667,7,2.0,42
190,2018-07-01,Badhaadhe,0.3711192650605567,0.2330307158506623,0.5316666666666666,0.0,41293.78545781948,110.49,7,1.5,4
191,2018-07-01,Owdweyne,0.2303423878316652,0.2072939133886237,0.175,0.1,99751.78651328415,36.175,7,0.5,61
192,2018-07-01,Belet Xaawo,0.3942363701220913,0.4070600258586147,0.33,0.03,80263.42747402092,48.461666666666666,7,2.333333333333333,15
193,2018-07-01,Hargeysa,0.2386485041615721,0.1951645146346709,0.0,0.23,959744.1903862744,42.565,7,5.166666666666667,45
194,2018-07-01,Borama,0.2406251937071188,0.204456465641011,0.1983333333333333,0.16,397759.659833392,45.571666666666665,7,4.333333333333333,17
195,2018-07-01,Diinsoor,0.4769534198876959,0.4709407002848428,0.4116666666666667,0.08,144645.3749179251,83.28833333333334,7,5.833333333333333,37
196,2018-07-01,Bu'aale,0.4125181113098476,0.31831560695452,0.48,0.09,102232.682999872,100.16833333333334,7,3.5,19
198,2018-07-01,Qandala,0.4649012053458273,0.4847031486728068,0.16,0.08,50358.19680656703,10.048333333333334,7,0.8333333333333334,62
199,2018-07-01,Ceerigaabo,0.3096083862495412,0.4231594017049179,0.135,0.14,186214.57602082423,18.82333333333333,7,3.8333333333333335,35
200,2018-07-01,Saakow,0.3922946898077266,0.3836149906890133,0.3916666666666666,0.05,69325.1698295153,72.82000000000001,7,3.6666666666666665,67
201,2018-07-01,Xudun,0.2431695325710332,0.3499931256730363,0.1383333333333333,0.54,29233.817803085487,18.26,7,0.0,74
202,2018-07-01,Bossaso,0.482210605259551,0.3942170096006928,0.1433333333333333,0.26,474784.6404434893,9.94,7,5.333333333333333,18
203,2018-07-01,Saakow,0.3717999999999999,0.3922946898077266,0.3916666666666666,0.05,14000.0,72.82000000000001,7,3.6666666666666665,67
204,2018-07-01,Qansax Dheere,0.5092847348131929,0.4706401766004414,0.34,0.11,69363.1772816809,60.24666666666667,7,3.8333333333333335,63
205,2018-07-01,Ceel Waaq,0.2770029164634731,0.3215618498962238,0.4016666666666666,0.07,42841.35404644698,58.55833333333334,7,3.1666666666666665,34
206,2018-07-01,Bulo Burto,0.3908949717937982,0.470453127878576,0.3216666666666666,0.12,126308.10395590446,35.43333333333333,7,3.0,20
207,2018-07-01,Qardho,0.5372761677527557,0.4087521426316601,0.125,0.08,80478.15211908707,11.105,7,1.1666666666666667,64
208,2018-07-01,Xudur,0.4689020964811947,0.48161201917032,0.3283333333333333,0.11,119822.71253135678,50.84,7,5.666666666666667,75
209,2018-07-01,Baraawe,0.4309610549243231,0.3785774588022779,0.3999999999999999,0.0,24953.239247136426,86.7525,7,2.4166666666666665,11
210,2018-07-01,Hobyo,0.3354148794445133,0.3520726565695597,0.1816666666666666,0.15,90079.84358712788,24.48,7,2.833333333333333,46
211,2018-07-01,Burtinle,0.4927859267135329,0.4133399855287525,0.1916666666666666,0.07,61401.072470727006,16.126666666666665,7,3.1666666666666665,22
212,2018-07-01,Baraawe,0.3785774588022779,0.4365207106198354,0.3999999999999999,0.0,71451.00452711528,86.7525,7,2.4166666666666665,11
